employee_id,project_id,allocation_start_date,bench_days,utilization_status
EMP1059,,2023-03-17,51,Bench
EMP1060,,2023-02-14,27,Bench
EMP1061,,2019-10-05,39,Bench
EMP1062,PRJ124,2026-04-22,7,Billed
EMP1063,,2019-07-04,24,Bench
EMP1064,,2019-12-27,21,Bench
EMP1065,,2020-05-11,44,Bench
EMP1066,,2022-01-12,59,Bench
EMP1067,PRJ135,2022-09-22,0,Billed
EMP1068,,2026-05-22,28,Bench
EMP1069,PRJ140,2020-06-12,1,Training
EMP1070,,2022-01-21,19,Bench
EMP1071,PRJ136,2026-05-20,8,Training
EMP1072,PRJ145,2022-01-04,9,Billed
EMP1073,PRJ102,2026-05-14,10,Billed
EMP1074,,2021-08-13,24,Bench
EMP1075,PRJ149,2022-05-04,10,Billed
EMP1076,,2021-06-10,32,Bench
EMP1077,PRJ105,2025-02-11,12,Training
EMP1078,PRJ106,2020-03-15,1,Billed
EMP1079,,2022-12-01,38,Bench
EMP1080,PRJ117,2023-04-29,8,Training
EMP1081,PRJ140,2019-09-02,14,Training
EMP1082,,2023-02-01,28,Bench
EMP1083,PRJ110,2018-10-12,10,Training
EMP1084,PRJ122,2018-10-17,1,Training
EMP1085,PRJ142,2021-04-20,11,Billed
EMP1086,,2025-05-10,72,Bench
EMP1087,,2023-08-27,25,Bench
EMP1088,,2020-04-04,27,Bench
EMP1089,,2024-09-20,25,Bench
EMP1090,PRJ144,2023-09-08,5,Training
EMP1091,PRJ138,2025-09-16,13,Billed
EMP1092,,2021-12-21,34,Bench
EMP1093,PRJ134,2023-02-15,2,Billed
EMP1094,PRJ110,2025-07-20,8,Billed
EMP1095,PRJ124,2023-08-02,8,Training
EMP1096,PRJ140,2021-03-22,14,Training
EMP1097,,2024-03-17,98,Bench
EMP1098,PRJ143,2022-05-29,1,Billed
EMP1099,,2020-04-27,18,Bench
EMP1100,PRJ149,2018-08-06,4,Training
EMP1101,,2025-05-04,88,Bench
EMP1102,PRJ114,2026-05-08,3,Billed
EMP1103,PRJ120,2023-05-25,12,Billed
EMP1104,,2020-02-06,33,Bench
EMP1105,,2024-10-01,30,Bench
EMP1106,PRJ117,2025-09-19,13,Training
EMP1107,PRJ113,2019-06-01,10,Billed
EMP1108,PRJ113,2022-05-18,12,Training
EMP1109,PRJ125,2025-03-04,7,Training
EMP1110,PRJ109,2023-07-14,5,Training
EMP1111,,2025-04-29,16,Bench
EMP1112,PRJ108,2024-10-17,7,Training
EMP1113,PRJ147,2020-03-13,8,Billed
EMP1114,,2021-12-07,26,Bench
EMP1115,,2021-10-28,86,Bench
EMP1116,,2026-02-24,23,Bench
EMP1117,PRJ147,2023-04-17,2,Training
EMP1118,PRJ137,2024-11-30,1,Training
EMP1119,,2026-06-19,75,Bench
EMP1120,PRJ123,2022-05-26,8,Training
EMP1121,PRJ108,2024-07-02,2,Billed
EMP1122,,2025-11-24,22,Bench
EMP1123,,2024-11-30,24,Bench
EMP1124,,2022-06-11,26,Bench
EMP1125,PRJ105,2019-09-19,7,Training
EMP1126,PRJ107,2023-10-19,0,Billed
EMP1127,,2020-05-13,83,Bench
EMP1128,PRJ140,2024-11-08,7,Billed
EMP1129,,2022-11-15,28,Bench
EMP1130,,2025-01-15,30,Bench
EMP1131,,2020-10-10,23,Bench
EMP1132,PRJ143,2018-11-29,9,Billed
EMP1133,PRJ138,2026-02-03,7,Training
EMP1134,,2022-11-02,22,Bench
EMP1135,,2026-04-18,50,Bench
EMP1136,,2023-01-01,73,Bench
EMP1137,PRJ124,2020-02-28,2,Billed
EMP1138,PRJ138,2025-10-22,4,Training
EMP1139,,2025-12-24,72,Bench
EMP1140,,2021-08-21,33,Bench
EMP1141,,2024-01-17,53,Bench
EMP1142,PRJ133,2020-02-03,5,Training
EMP1143,,2019-12-10,22,Bench
EMP1144,,2023-10-05,30,Bench
EMP1145,,2021-10-29,28,Bench
EMP1146,PRJ135,2019-08-03,13,Training
EMP1147,PRJ143,2019-03-14,0,Billed
EMP1148,,2020-12-24,21,Bench
EMP1149,PRJ143,2023-03-29,7,Billed
EMP1150,PRJ149,2019-05-08,14,Training
EMP1151,,2024-08-06,79,Bench
EMP1152,PRJ107,2019-05-09,12,Training
EMP1153,,2023-04-13,45,Bench
EMP1154,PRJ127,2023-02-07,5,Training
EMP1155,,2020-05-11,27,Bench
EMP1156,,2022-03-14,94,Bench
EMP1157,PRJ129,2019-02-16,2,Billed
EMP1158,PRJ146,2026-06-09,0,Billed
EMP1159,PRJ132,2024-09-09,14,Training
EMP1160,PRJ132,2024-11-14,2,Billed
EMP1161,,2018-12-29,34,Bench
EMP1162,,2020-01-16,61,Bench
EMP1163,PRJ140,2025-02-04,14,Billed
EMP1164,PRJ140,2024-07-12,7,Training
EMP1165,PRJ109,2024-06-27,14,Billed
EMP1166,,2026-06-28,32,Bench
EMP1167,PRJ148,2024-09-26,0,Training
EMP1168,,2020-12-02,22,Bench
EMP1169,,2020-11-28,23,Bench
EMP1170,,2019-10-16,25,Bench
EMP1171,PRJ134,2022-12-15,6,Billed
EMP1172,,2025-07-01,31,Bench
EMP1173,PRJ138,2021-04-06,2,Billed
EMP1174,PRJ131,2020-10-18,5,Training
EMP1175,,2026-01-05,52,Bench
EMP1176,,2023-11-15,33,Bench
EMP1177,PRJ107,2022-02-12,0,Billed
EMP1178,PRJ119,2022-09-01,7,Training
EMP1179,PRJ103,2018-12-30,6,Billed
EMP1180,PRJ136,2020-01-21,7,Billed
EMP1181,PRJ105,2023-12-10,7,Billed
EMP1182,PRJ104,2021-08-04,1,Training
EMP1183,PRJ108,2026-04-17,15,Billed
EMP1184,,2025-10-07,32,Bench
EMP1185,,2025-01-21,23,Bench
EMP1186,,2024-03-14,27,Bench
EMP1187,PRJ135,2024-01-08,2,Training
EMP1188,,2021-06-27,75,Bench
EMP1189,,2025-01-09,45,Bench
EMP1190,,2024-03-14,40,Bench
EMP1191,,2022-10-26,43,Bench
EMP1192,,2022-06-05,67,Bench
EMP1193,,2022-10-06,19,Bench
EMP1194,PRJ116,2022-12-11,5,Billed
EMP1195,,2026-02-02,23,Bench
EMP1196,,2025-09-04,33,Bench
EMP1197,,2025-04-13,33,Bench
EMP1198,,2023-05-12,18,Bench
EMP1199,PRJ113,2019-10-12,1,Training
EMP1200,PRJ145,2022-11-27,11,Billed
EMP1201,,2022-10-25,63,Bench
EMP1202,,2021-07-08,21,Bench
EMP1203,,2023-08-12,19,Bench
EMP1204,PRJ125,2025-09-22,7,Training
EMP1205,PRJ128,2020-04-02,11,Training
EMP1206,,2023-09-04,56,Bench
EMP1207,,2024-06-15,27,Bench
EMP1208,,2024-10-10,38,Bench
EMP1209,PRJ107,2026-05-06,15,Training
EMP1210,,2024-08-16,24,Bench
EMP1211,PRJ114,2022-06-04,7,Billed
EMP1212,,2019-05-10,30,Bench
EMP1213,PRJ121,2021-04-01,13,Billed
EMP1214,PRJ137,2023-07-09,14,Billed
EMP1215,,2020-02-20,26,Bench
EMP1216,,2024-07-17,68,Bench
EMP1217,PRJ137,2020-11-07,1,Billed
EMP1218,,2023-01-01,43,Bench
EMP1219,PRJ100,2023-07-29,8,Billed
EMP1220,PRJ145,2021-02-12,14,Billed
EMP1221,PRJ114,2021-12-27,0,Billed
EMP1222,PRJ102,2024-12-09,8,Billed
EMP1223,,2023-03-06,17,Bench
EMP1224,PRJ104,2020-04-28,1,Training
EMP1225,,2020-08-25,16,Bench
EMP1226,,2023-06-21,65,Bench
EMP1227,PRJ117,2021-11-07,2,Billed
EMP1228,,2022-08-05,36,Bench
EMP1229,PRJ113,2023-01-27,13,Training
EMP1230,,2022-02-02,26,Bench
EMP1231,PRJ146,2025-12-10,7,Billed
EMP1232,PRJ115,2022-09-10,4,Training
EMP1233,PRJ126,2018-10-26,4,Training
EMP1234,PRJ106,2024-11-14,1,Billed
EMP1235,PRJ142,2021-11-22,5,Billed
EMP1236,,2024-11-20,27,Bench
EMP1237,,2023-06-12,53,Bench
EMP1238,,2019-09-06,42,Bench
EMP1239,,2022-10-13,28,Bench
EMP1240,PRJ122,2025-03-17,2,Training
EMP1241,PRJ126,2021-06-13,8,Training
EMP1242,PRJ146,2019-09-23,9,Training
EMP1243,PRJ143,2018-11-01,7,Billed
EMP1244,,2019-11-20,18,Bench
EMP1245,,2022-09-05,19,Bench
EMP1246,PRJ103,2018-11-12,11,Billed
EMP1247,PRJ146,2023-04-08,10,Training
EMP1248,,2021-10-03,44,Bench
EMP1249,,2019-10-18,38,Bench
EMP1250,PRJ106,2025-10-04,9,Training
EMP1251,,2023-09-12,61,Bench
EMP1252,,2021-04-02,76,Bench
EMP1253,PRJ112,2018-12-17,9,Billed
EMP1254,PRJ134,2020-02-13,10,Billed
EMP1255,,2018-10-15,17,Bench
EMP1256,,2024-09-22,70,Bench
EMP1257,,2020-11-02,52,Bench
EMP1258,PRJ108,2024-03-08,2,Training
EMP1259,PRJ111,2023-01-24,12,Training
EMP1260,,2022-09-08,20,Bench
EMP1261,,2021-10-06,17,Bench
EMP1262,PRJ129,2021-01-01,5,Training
EMP1263,,2020-09-07,48,Bench
EMP1264,,2023-10-05,28,Bench
EMP1265,,2021-09-15,45,Bench
EMP1266,,2018-09-01,48,Bench
EMP1267,,2020-07-21,34,Bench
EMP1268,PRJ104,2026-04-25,14,Billed
EMP1269,,2024-09-13,23,Bench
EMP1270,PRJ135,2024-02-08,4,Training
EMP1271,,2021-02-14,27,Bench
EMP1272,PRJ103,2023-10-22,4,Billed
EMP1273,,2023-02-10,29,Bench
EMP1274,PRJ105,2024-04-12,6,Billed
EMP1275,PRJ110,2025-02-14,3,Billed
EMP1276,PRJ131,2018-09-02,4,Training
EMP1277,PRJ113,2023-09-04,0,Training
EMP1278,,2020-05-05,31,Bench
EMP1279,,2022-02-10,32,Bench
EMP1280,,2024-07-02,18,Bench
EMP1281,PRJ103,2022-03-20,4,Training
EMP1282,PRJ124,2019-12-22,2,Billed
EMP1283,PRJ124,2019-07-06,0,Billed
EMP1284,PRJ129,2025-06-15,4,Training
EMP1285,,2021-11-16,55,Bench
EMP1286,PRJ127,2025-07-04,6,Training
EMP1287,PRJ109,2022-06-13,10,Training
EMP1288,PRJ118,2024-09-02,2,Billed
EMP1289,PRJ103,2023-04-02,6,Billed
EMP1290,,2019-09-27,18,Bench
EMP1291,,2025-06-09,23,Bench
EMP1292,PRJ147,2026-04-28,7,Billed
EMP1293,PRJ103,2025-06-14,1,Training
EMP1294,PRJ137,2024-01-28,12,Billed
EMP1295,PRJ132,2024-05-28,6,Training
EMP1296,PRJ103,2020-04-07,6,Billed
EMP1297,,2024-05-01,80,Bench
EMP1298,,2025-03-29,23,Bench
EMP1299,,2026-02-02,20,Bench
EMP1300,PRJ111,2025-01-07,13,Billed
EMP1301,PRJ138,2018-12-06,14,Billed
EMP1302,,2025-10-03,19,Bench
EMP1303,,2025-01-06,29,Bench
EMP1304,,2019-08-30,30,Bench
EMP1305,PRJ143,2018-10-09,4,Billed
EMP1306,,2023-10-05,17,Bench
EMP1307,PRJ125,2021-02-26,13,Billed
EMP1308,,2021-11-25,51,Bench
EMP1309,,2024-06-29,24,Bench
EMP1310,,2021-05-11,19,Bench
EMP1311,PRJ136,2026-01-03,3,Billed
EMP1312,,2026-03-07,23,Bench
EMP1313,PRJ137,2022-09-01,3,Billed
EMP1314,PRJ139,2022-04-05,10,Billed
EMP1315,PRJ126,2022-01-14,3,Billed
EMP1316,,2024-09-26,29,Bench
EMP1317,PRJ116,2023-11-24,5,Training
EMP1318,PRJ142,2018-11-21,12,Billed
EMP1319,,2018-11-02,56,Bench
EMP1320,PRJ115,2019-05-11,5,Training
EMP1321,,2022-06-29,17,Bench
EMP1322,PRJ125,2025-01-03,13,Training
EMP1323,PRJ142,2026-02-17,0,Billed
EMP1324,,2025-10-14,39,Bench
EMP1325,PRJ129,2024-06-22,1,Training
EMP1326,,2025-09-20,16,Bench
EMP1327,,2026-03-28,20,Bench
EMP1328,,2020-12-19,24,Bench
EMP1329,,2024-09-10,29,Bench
EMP1330,PRJ148,2021-05-08,7,Training
EMP1331,PRJ100,2026-05-15,0,Billed
EMP1332,,2020-09-10,32,Bench
EMP1333,,2024-08-28,19,Bench
EMP1334,,2018-10-22,45,Bench
EMP1335,,2025-11-16,43,Bench
EMP1336,,2023-11-16,46,Bench
EMP1337,,2022-12-27,16,Bench
EMP1338,PRJ139,2018-12-09,10,Training
EMP1339,,2018-10-26,39,Bench
EMP1340,PRJ104,2020-10-21,15,Billed
EMP1341,PRJ132,2025-04-20,5,Billed
EMP1342,,2022-07-26,48,Bench
EMP1343,,2024-10-05,53,Bench
EMP1344,PRJ108,2018-08-19,15,Training
EMP1345,PRJ104,2022-10-11,1,Training
EMP1346,PRJ123,2021-07-31,12,Billed
EMP1347,,2023-02-12,40,Bench
EMP1348,,2019-04-24,58,Bench
EMP1349,PRJ110,2025-09-06,5,Training
EMP1350,PRJ134,2025-03-30,1,Training
EMP1351,,2023-08-13,52,Bench
EMP1352,PRJ139,2024-03-02,12,Training
EMP1353,,2020-06-20,19,Bench
EMP1354,,2019-06-17,86,Bench
EMP1355,PRJ142,2024-04-05,1,Billed
EMP1356,,2019-07-03,26,Bench
EMP1357,PRJ142,2025-07-27,1,Training
EMP1358,PRJ108,2024-04-13,11,Billed
EMP1359,,2022-09-27,40,Bench
EMP1360,PRJ107,2020-09-29,14,Training
EMP1361,,2023-05-11,146,Bench
EMP1362,,2019-08-19,20,Bench
EMP1363,PRJ147,2026-05-31,9,Billed
EMP1364,PRJ117,2021-11-25,6,Billed
EMP1365,PRJ138,2020-09-27,10,Training
EMP1366,PRJ145,2021-06-26,11,Billed
EMP1367,PRJ113,2020-08-19,1,Training
EMP1368,PRJ132,2019-05-09,11,Training
EMP1369,PRJ116,2022-03-23,15,Training
EMP1370,,2019-06-18,32,Bench
EMP1371,,2021-03-08,26,Bench
EMP1372,,2022-01-18,30,Bench
EMP1373,PRJ105,2026-03-31,0,Billed
EMP1374,PRJ117,2025-04-08,6,Training
EMP1375,,2020-11-05,27,Bench
EMP1376,,2024-06-02,16,Bench
EMP1377,PRJ100,2026-02-08,0,Billed
EMP1378,,2021-07-30,40,Bench
EMP1379,,2022-10-24,37,Bench
EMP1380,,2025-10-16,19,Bench
EMP1381,PRJ149,2023-01-02,1,Training
EMP1382,,2026-06-12,36,Bench
EMP1383,,2023-04-19,21,Bench
EMP1384,,2018-10-02,38,Bench
EMP1385,,2025-08-17,34,Bench
EMP1386,,2025-05-28,40,Bench
EMP1387,,2018-08-19,18,Bench
EMP1388,PRJ140,2026-03-20,3,Billed
EMP1389,,2020-01-06,27,Bench
EMP1390,,2019-03-04,24,Bench
EMP1391,,2023-08-18,33,Bench
EMP1392,PRJ110,2023-03-07,4,Training
EMP1393,PRJ135,2023-04-21,5,Training
EMP1394,,2022-07-13,55,Bench
EMP1395,,2026-05-09,34,Bench
EMP1396,,2025-04-19,59,Bench
EMP1397,,2022-04-07,35,Bench
EMP1398,,2022-12-29,22,Bench
EMP1399,,2019-02-27,26,Bench
EMP1400,,2026-05-17,54,Bench
EMP1401,,2025-11-11,21,Bench
EMP1402,,2022-12-31,25,Bench
EMP1403,PRJ135,2019-06-29,4,Training
EMP1404,,2021-03-16,16,Bench
EMP1405,,2023-01-29,31,Bench
EMP1406,PRJ107,2025-03-18,7,Billed
EMP1407,PRJ144,2020-01-17,5,Billed
EMP1408,PRJ134,2021-10-04,9,Billed
EMP1409,PRJ123,2023-12-13,6,Billed
EMP1410,PRJ127,2025-03-18,6,Billed
EMP1411,PRJ102,2021-04-12,13,Billed
EMP1412,,2018-08-20,59,Bench
EMP1413,,2021-05-10,17,Bench
EMP1414,PRJ123,2023-12-16,5,Training
EMP1415,PRJ122,2022-06-20,2,Billed
EMP1416,,2019-06-22,29,Bench
EMP1417,PRJ143,2021-06-24,12,Billed
EMP1418,,2020-04-27,43,Bench
EMP1419,,2026-02-02,26,Bench
EMP1420,,2026-02-13,39,Bench
EMP1421,PRJ142,2024-03-21,7,Billed
EMP1422,,2026-06-13,29,Bench
EMP1423,PRJ122,2019-03-16,7,Billed
EMP1424,,2019-10-13,69,Bench
EMP1425,,2019-08-11,25,Bench
EMP1426,PRJ139,2021-07-22,9,Training
EMP1427,PRJ115,2024-12-15,7,Billed
EMP1428,PRJ111,2025-07-19,5,Billed
EMP1429,,2018-12-25,29,Bench
EMP1430,PRJ101,2019-07-04,6,Training
EMP1431,,2026-01-28,22,Bench
EMP1432,PRJ147,2022-02-06,7,Billed
EMP1433,,2024-04-26,27,Bench
EMP1434,,2023-07-09,42,Bench
EMP1435,,2024-09-27,37,Bench
EMP1436,,2026-05-11,35,Bench
EMP1437,PRJ126,2020-02-24,5,Training
EMP1438,PRJ117,2022-07-19,2,Billed
EMP1439,,2019-05-30,30,Bench
EMP1440,PRJ144,2026-04-12,11,Billed
EMP1441,PRJ124,2019-10-03,14,Billed
EMP1442,PRJ130,2026-02-13,0,Billed
EMP1443,PRJ112,2021-04-14,7,Billed
EMP1444,PRJ122,2024-01-31,0,Training
EMP1445,,2019-06-30,52,Bench
EMP1446,PRJ114,2022-02-14,6,Training
EMP1447,,2026-06-15,20,Bench
EMP1448,PRJ101,2023-10-16,0,Billed
EMP1449,,2023-12-22,27,Bench
EMP1450,PRJ125,2022-07-31,9,Billed
EMP1451,,2024-02-04,57,Bench
EMP1452,,2022-09-18,54,Bench
EMP1453,PRJ117,2023-11-05,9,Training
EMP1454,,2026-05-07,57,Bench
EMP1455,,2026-01-14,139,Bench
EMP1456,,2024-10-05,43,Bench
EMP1457,,2023-12-24,46,Bench
EMP1458,PRJ149,2019-10-28,7,Billed
EMP1459,,2026-05-05,21,Bench
EMP1460,PRJ122,2020-09-14,1,Training
EMP1461,PRJ143,2025-10-10,2,Training
EMP1462,,2021-11-20,170,Bench
EMP1463,PRJ101,2020-08-31,9,Training
EMP1464,,2019-10-01,34,Bench
EMP1465,,2024-08-15,41,Bench
EMP1466,,2019-07-20,48,Bench
EMP1467,,2020-03-05,151,Bench
EMP1468,PRJ116,2019-01-09,6,Billed
EMP1469,PRJ137,2024-06-12,1,Billed
EMP1470,PRJ102,2022-08-02,13,Training
EMP1471,PRJ138,2023-07-24,3,Billed
EMP1472,PRJ122,2021-12-25,0,Training
EMP1473,PRJ127,2021-05-12,11,Training
EMP1474,,2025-03-06,38,Bench
EMP1475,,2022-12-27,20,Bench
EMP1476,PRJ124,2018-11-14,9,Billed
EMP1477,,2019-11-06,26,Bench
EMP1478,PRJ116,2019-11-05,6,Billed
EMP1479,PRJ145,2020-05-04,0,Billed
EMP1480,,2025-04-26,36,Bench
EMP1481,,2026-04-16,24,Bench
EMP1482,,2024-09-08,35,Bench
EMP1483,PRJ100,2024-02-08,0,Training
EMP1484,,2021-09-24,45,Bench
EMP1485,,2024-11-17,24,Bench
EMP1486,,2026-01-13,20,Bench
EMP1487,,2022-11-12,24,Bench
EMP1488,,2022-07-19,49,Bench
EMP1489,,2020-09-23,22,Bench
EMP1490,,2021-09-11,21,Bench
EMP1491,,2025-09-10,116,Bench
EMP1492,,2019-05-19,35,Bench
EMP1493,PRJ123,2024-12-23,14,Billed
EMP1494,,2022-12-03,30,Bench
EMP1495,PRJ104,2025-09-22,12,Training
EMP1496,PRJ139,2021-12-08,6,Training
EMP1497,,2024-05-21,22,Bench
EMP1498,,2023-04-01,65,Bench
EMP1499,,2025-06-11,66,Bench
EMP1500,PRJ142,2019-12-15,10,Training
EMP1501,,2025-06-18,18,Bench
EMP1502,PRJ146,2025-02-07,5,Billed
EMP1503,,2024-07-30,135,Bench
EMP1504,,2025-11-23,99,Bench
EMP1505,,2026-03-12,26,Bench
EMP1506,,2020-09-12,40,Bench
EMP1507,,2025-03-13,31,Bench
EMP1508,,2024-09-18,22,Bench
EMP1509,PRJ132,2023-06-29,1,Training
EMP1510,PRJ142,2025-02-21,15,Training
EMP1511,,2019-10-08,28,Bench
EMP1512,,2024-05-11,28,Bench
EMP1513,PRJ120,2023-12-16,11,Training
EMP1514,,2021-05-16,71,Bench
EMP1515,PRJ144,2022-07-12,4,Training
EMP1516,,2025-09-08,17,Bench
EMP1517,,2025-12-11,29,Bench
EMP1518,,2020-03-23,29,Bench
EMP1519,,2019-11-17,26,Bench
EMP1520,PRJ135,2022-11-01,8,Training
EMP1521,PRJ112,2022-12-09,4,Billed
EMP1522,,2026-05-13,25,Bench
EMP1523,,2021-05-01,22,Bench
EMP1524,PRJ142,2023-12-27,4,Training
EMP1525,,2019-12-14,30,Bench
EMP1526,PRJ143,2021-03-17,15,Training
EMP1527,,2023-10-15,27,Bench
EMP1528,,2025-05-23,45,Bench
EMP1529,PRJ139,2023-12-30,4,Billed
EMP1530,PRJ125,2021-02-24,0,Training
EMP1531,,2021-06-07,37,Bench
EMP1532,,2025-05-16,23,Bench
EMP1533,,2022-01-09,30,Bench
EMP1534,,2019-04-28,45,Bench
EMP1535,,2022-10-02,40,Bench
EMP1536,,2022-12-15,81,Bench
EMP1537,,2019-02-07,19,Bench
EMP1538,,2021-01-26,16,Bench
EMP1539,PRJ119,2019-12-12,12,Billed
EMP1540,PRJ113,2024-07-21,4,Training
EMP1541,,2025-02-01,21,Bench
EMP1542,PRJ137,2019-06-25,8,Training
EMP1543,,2024-02-12,63,Bench
EMP1544,,2026-04-08,21,Bench
EMP1545,,2019-07-16,22,Bench
EMP1546,PRJ129,2020-12-30,10,Training
EMP1547,PRJ128,2022-06-25,1,Training
EMP1548,PRJ132,2025-10-14,0,Billed
EMP1549,PRJ147,2019-01-13,13,Training
EMP1550,PRJ142,2020-06-28,2,Billed
EMP1551,,2024-09-18,23,Bench
EMP1552,,2023-09-07,53,Bench
EMP1553,,2019-08-19,53,Bench
EMP1554,,2025-03-06,26,Bench
EMP1555,PRJ118,2023-04-30,5,Billed
EMP1556,,2025-06-30,49,Bench
EMP1557,,2021-12-07,54,Bench
EMP1558,PRJ105,2019-01-25,5,Training
EMP1559,,2021-08-03,33,Bench
EMP1560,PRJ143,2026-05-20,8,Billed
EMP1561,,2019-03-13,40,Bench
EMP1562,,2021-07-12,147,Bench
EMP1563,PRJ114,2021-04-21,0,Training
EMP1564,,2022-03-21,56,Bench
EMP1565,,2021-10-07,24,Bench
EMP1566,,2026-04-28,90,Bench
EMP1567,PRJ109,2024-12-05,15,Billed
EMP1568,,2023-08-28,46,Bench
EMP1569,PRJ102,2023-11-08,1,Billed
EMP1570,PRJ130,2020-03-01,10,Billed
EMP1571,PRJ129,2024-05-04,1,Billed
EMP1572,,2022-02-09,92,Bench
EMP1573,,2023-06-18,42,Bench
EMP1574,,2026-03-31,47,Bench
EMP1575,,2026-02-01,69,Bench
EMP1576,PRJ140,2019-06-06,2,Training
EMP1577,PRJ145,2023-03-22,12,Billed
EMP1578,PRJ131,2022-01-22,1,Training
EMP1579,PRJ115,2020-09-04,5,Training
EMP1580,PRJ141,2023-07-04,6,Billed
EMP1581,PRJ148,2020-09-24,15,Billed
EMP1582,PRJ149,2019-05-06,7,Billed
EMP1583,PRJ114,2024-08-13,2,Training
EMP1584,PRJ144,2025-09-17,4,Billed
EMP1585,PRJ103,2026-06-25,3,Training
EMP1586,,2021-11-15,90,Bench
EMP1587,,2022-11-22,35,Bench
EMP1588,,2019-07-15,85,Bench
EMP1589,PRJ107,2019-02-23,14,Billed
EMP1590,PRJ108,2026-05-04,8,Training
EMP1591,,2025-11-04,40,Bench
EMP1592,PRJ142,2020-10-06,9,Training
EMP1593,PRJ148,2023-09-14,8,Training
EMP1594,PRJ139,2021-04-17,6,Training
EMP1595,PRJ135,2021-05-20,3,Training
EMP1596,PRJ110,2024-04-18,7,Training
EMP1597,PRJ128,2022-06-12,10,Training
EMP1598,,2019-01-15,28,Bench
EMP1599,PRJ148,2022-05-03,1,Training
EMP1600,PRJ140,2021-05-25,5,Billed
EMP1601,,2024-08-10,41,Bench
EMP1602,PRJ149,2022-10-01,3,Training
EMP1603,PRJ140,2025-04-24,10,Training
EMP1604,,2025-03-02,49,Bench
EMP1605,PRJ117,2024-08-30,4,Billed
EMP1606,PRJ104,2021-01-17,2,Training
EMP1607,,2020-08-15,16,Bench
EMP1608,PRJ115,2018-11-22,9,Training
EMP1609,,2018-10-20,20,Bench
EMP1610,,2023-04-28,40,Bench
EMP1611,PRJ121,2023-03-31,3,Training
EMP1612,,2019-08-22,21,Bench
EMP1613,,2023-09-26,17,Bench
EMP1614,PRJ134,2019-06-16,3,Training
EMP1615,,2020-01-14,24,Bench
EMP1616,PRJ108,2021-03-17,7,Billed
EMP1617,,2022-02-01,16,Bench
EMP1618,PRJ114,2023-08-20,2,Billed
EMP1619,PRJ144,2020-04-15,15,Training
EMP1620,PRJ145,2022-11-25,9,Billed
EMP1621,,2020-12-18,43,Bench
EMP1622,PRJ104,2024-02-17,1,Billed
EMP1623,PRJ126,2024-03-27,13,Training
EMP1624,PRJ134,2020-07-29,15,Training
EMP1625,,2023-10-23,32,Bench
EMP1626,,2025-06-15,21,Bench
EMP1627,,2019-02-10,27,Bench
EMP1628,,2019-02-20,37,Bench
EMP1629,,2026-05-11,49,Bench
